ID;Adidas;A_FSS2S_MeanScore;A_UEQ_Factor1_Attractiveness_MeanScore;A_UEQ_Factor2_Perspicuity_MeanScore;A_UEQ_Factor3_Efficiency_MeanScore;A_UEQ_Factor4_Dependability_MeanScore;A_UEQ_Factor5_Stimulation_MeanScore;A_UEQ_Factor6_Novelty_MeanScore;Komoot;K_FSS2S_MeanScore;K_UEQ_Factor1_Attractiveness_MeanScore;K_UEQ_Factor2_Perspicuity_MeanScore;K_UEQ_Factor3_Efficiency_MeanScore;K_UEQ_Factor4_Dependability_MeanScore;K_UEQ_Factor5_Stimulation_MeanScore;K_UEQ_Factor6_Novelty_MeanScore;Strava;S_FSS2S_MeanScore;S_UEQ_Factor1_Attractiveness_MeanScore;S_UEQ_Factor2_Perspicuity_MeanScore;S_UEQ_Factor3_Efficiency_MeanScore;S_UEQ_Factor4_Dependability_MeanScore;S_UEQ_Factor5_Stimulation_MeanScore;S_UEQ_Factor6_Novelty_MeanScore;Geschlecht;Alter;Staatsangehörigkeit_Deutsch;Familienstand;Ausbildungsabschluss;Wohnort;Führerschein_Besitz;Führerschein_Besitz_Jahre;Pendeln_ÖPNV;Fahrrad_Verkehrsmittel_Freizeit;ÖPNV_Verkehrsmittel_Freizeit;Regelmäßig_Laufen;Regelmäßig_Walken;Teilnahme_Wettkämpfen;Fahrradfahren_proWoche;Fahrradfahren_Hobbysport_1Jahr;AppRanking_Rank1;AppRanking_Rank2;AppRanking_Rank3;Bekannte_Apps_Spezifikation
11; ;4,44444444444444;2,16666666666667;3;2,75;2,25;2,25;,25; ;3,88888888888889;2,5;2,25;2;2;1,75;-,25; ;4,22222222222222;1;2,75;1,75;2;2;-,5;1;22;1;1;3;2;1;5;2;1;2;3;0;0;2;2;3;2;1;Adidas Runtastic
12; ;3,22222222222222;1,16666666666667;,75;1,5;1;1,25;2; ;4,44444444444444;1,33333333333333;1,75;1,5;1,5;,75;-,25; ;4,11111111111111;1,16666666666667;2;1,5;1,5;,5;,5;1;51;1;3;8;3;1;33;2;1;2;0;3;0;1;2;2;1;3;Komoot
13; ;4,22222222222222;0;-,25;-,25;-,25;0;,5; ;4,66666666666667;1;2;2;1,5;,75;-,25; ;4,11111111111111;1,5;1,5;2;1,25;,5;0;2;55;1;3;6;3;1;37;2;1;2;0;0;0;3;2;2;1;3;Komoot
14; ;3,77777777777778;1,5;1,75;1;1,5;1,75;,5; ;3,77777777777778;,166666666666667;1;1,5;1,5;,25;-1,25; ;4,11111111111111;1,33333333333333;2;1,25;1;1;-1,75;1;26;1;2;7;3;1;8;2;1;1;4;0;1;10;1;3;1;2; 
15; ;4,44444444444444;3;3;2,25;1,5;3;3; ;4,66666666666667;2,5;2,75;2;1,5;2,25;1,25; ;4,55555555555556;2,83333333333333;2,5;2,75;2,25;3;2,75;2;34;1;2;4;1;1;16;2;1;2;0;0;0;10;1;3;2;1;Alle
16; ;3,77777777777778;1;2,25;1,75;,5;,5;1,25; ;3,11111111111111;1,33333333333333;,25;1,25;1,25;1,5;-1; ;4;-,166666666666667;1,5;1;1,25;-,75;-2;1;26;1;1;8;1;1;9;2;1;2;1;2;0;3;1;3;2;1;Adidas Runtastic und Komoot
17; ;4,11111111111111;3;1;2;1,5;3;,75; ;4,11111111111111;2;1,5;1,25;1,25;1,25;,25; ;3,77777777777778;1,66666666666667;2,25;2;1,5;2;,75;1;23;1;1;7;1;1;5;1;1;1;3;0;0;4;2;3;1;2;Komoot, Runtastic
18; ;4;,5;0;,25;,75;0;,5; ;4,11111111111111;1,33333333333333;,75;1;,75;,5;,25; ;3,88888888888889;,333333333333333;-,25;0;,25;,25;,25;2;40;1;3;8;2;1;22;2;1;2;0;0;0;4;1; ; ; ; 
19; ;4,66666666666667;2,16666666666667;2;1,5;1,5;2;2; ;4,22222222222222;,166666666666667;-,25;-,25;,25;-,25;-,25; ;4,55555555555556;2;2;1,5;1,5;1,5;-,25;1;19;1;1;2;2;1;3;1;1;1;0;0;1;5;2;3;1;2; 
20; ;4,44444444444444;1,66666666666667;1,75;1,5;1,25;2;1; ;4,22222222222222;-1,16666666666667;1;,5;,5;-,75;-1,25; ;4,33333333333333;1,83333333333333;1,75;1,25;1,75;1;-,25;1;19;1;1;3;3;1;3;2;1;1;0;0;0;1;2;1;3;2;Adidas Runtastic
21; ;4;2,16666666666667;1,75;2,25;2;2,25;1,5; ;4,22222222222222;1,16666666666667;0;1;1,25;1,25;1,5; ;4,33333333333333;2,16666666666667;2,5;2;2,25;2;1,5;1;51;1;3;4;2;1;30;2;1;2;0;1;0;6;2;3;1;2;Strava
22; ;3,55555555555556;-,166666666666667;0;-,25;0;0;-,25; ;4,33333333333333;1,16666666666667;,75;,25;,5;0;,75; ;4,55555555555556;-,166666666666667;-,25;-,25;-,25;0;,5;2;56;1;3;4;2;1;35;2;1;2;0;2;0;3;2;2;1;3; 
23; ;4,55555555555556;1,5;2;1,25;2,25;1,75;-1; ;3,11111111111111;1,33333333333333;2;,75;1;1,75;1; ;4,11111111111111;1,16666666666667;0;,75;1,25;2,75;1,5;2;24;1;1;7;2;2; ;1;1;1;1;0;1;5;1;3;1;2;Adidas Runtastic
24; ;4,11111111111111;3;3;3;3;2,5;,5; ;4,77777777777778;-,833333333333333;-,25;1,25;-,75;-1,75;-1,5; ;3,77777777777778;1;1,75;2;1,25;,25;-,25;2;31;2;1;7;1;1;13;2;1;1;2;0;0;4;2;3;1;2;Adidas
25; ;3,33333333333333;,333333333333333;,25;,25;0;0;0; ;3,66666666666667;1;,5;,5;1;1,5;,25; ;3,55555555555556;,333333333333333;1;,25;,25;,25;-,25;2;43;1;3;4;1;1;25;1;1;2;2;0;1;4;1;2;1;3;Strava, Komoot
26; ;4,55555555555556;1,83333333333333;2,25;1,5;1,75;1,25;1; ;4,22222222222222;,5;-,25;,25;-1,25;,25;0; ;4,55555555555556;,5;1,25;,5;2;0;-1,5;1;23;1;2;3;2;1;5;1;1;2;1;0;0;5;1;3;1;2; 
27; ;4,44444444444444;1,66666666666667;2;1;0;1;,25; ;4,22222222222222;-,833333333333333;-,75;-,25;,25;,25;0; ;3,77777777777778;,5;-,25;0;,75;0;-,75;1;25;1;1;8;1;1;7;1;1;1;2;0;0;4;2;3;2;1;Komoot
28; ;3,33333333333333;1;1;1,25;1,5;-,75;0; ;3,33333333333333;,666666666666667;-1,5;-,25;,75;2;1; ;3,44444444444444;3;1,75;3;2,5;3;,5;1;45;1;1;4;1;1;20;2;1;1;1;0;1;6;1;1;3;2;Strava, Komoot
29; ;4,22222222222222;,833333333333333;-,5;,75;,75;1,25;2,25; ;3,88888888888889;1,5;,75;1,5;,75;1,75;3; ;3,77777777777778;,833333333333333;1;,75;1,25;1,5;1,5;1;22;1;1;3;4;1;5;2;1;1;1;0;0;5;1;2;3;1; 
30; ;4,11111111111111;,833333333333333;1,75;1;1,25;-,25;0; ;3,33333333333333;1,33333333333333;,25;1,25;1;1;,75; ;3,22222222222222;1;,5;1,5;1;1;1,75;1;54;1;3;5;3;1;36;2;1;2;0;0;0;5;2;2;1;3; 
31; ;4;,833333333333333;2,25;-,5;0;,25;,25; ;4;0;1,25;-,75;,25;-,5;-,75; ;4;2;2,5;,5;1;1,5;1,75;2;22;1;1;4;2;1;4;2;1;2;0;0;0;4;2; ; ; ; 
32; ;3,77777777777778;1,66666666666667;2,25;1,5;1,5;1;,25; ;4,22222222222222;1,5;2;1,25;1,5;1;,75; ;3,77777777777778;1,16666666666667;1,75;,75;0;,75;-,25;1;29;1;2;8;1;1;12;2;1;2;3;0;1;3;1;1;3;2; 
33; ;4,11111111111111;,5;2;,75;1;2,5;2,25; ;3,55555555555556;2,83333333333333;2;2,25;2,25;2,75;2; ;3,33333333333333;1,66666666666667;1;1,25;1,25;2;1;2;32;1;2;7;1;1;15;1;1;1;3;0;1;3;1;1;2;3;Alle 3
34; ;3,77777777777778;-,5;0;-,25;,5;-,75;-1; ;3,77777777777778;,833333333333333;,25;,5;,5;0;,25; ;3,77777777777778;,5;,25;0;1;-,25;,5;2;35;1;1;6;1;2; ;2;1;2;0;0;0;20;1;2;1;3; 
